Dim1	Dim2	Coupe	Value
51	68	2	1.000000
51	69	2	2.000000
52	24	2	2.000000
52	26	2	2.000000
52	27	2	2.000000
52	28	2	2.000000
52	29	2	2.000000
52	30	2	2.000000
52	31	2	2.000000
52	32	2	2.000000
52	33	2	2.000000
52	34	2	2.000000
52	35	2	2.000000
52	36	2	2.000000
52	37	2	2.000000
52	38	2	2.000000
52	39	2	2.000000
52	40	2	2.000000
52	41	2	2.000000
52	42	2	2.000000
52	43	2	2.000000
52	44	2	2.000000
52	45	2	2.000000
52	46	2	1.000000
52	47	2	1.000000
52	48	2	1.000000
52	64	2	1.000000
52	65	2	1.000000
52	68	2	2.000000
52	69	2	2.000000
52	70	2	2.000000
53	23	2	1.000000
53	24	2	1.000000
53	26	2	1.000000
53	27	2	2.000000
53	28	2	2.000000
53	29	2	2.000000
53	30	2	2.000000
53	31	2	2.000000
53	32	2	2.000000
53	33	2	2.000000
53	34	2	2.000000
53	35	2	2.000000
53	36	2	2.000000
53	37	2	2.000000
53	38	2	2.000000
53	39	2	2.000000
53	40	2	2.000000
53	41	2	2.000000
53	42	2	2.000000
53	43	2	2.000000
53	44	2	2.000000
53	45	2	2.000000
53	46	2	1.000000
53	47	2	1.000000
53	48	2	1.000000
53	51	2	1.000000
54	23	2	1.000000
54	24	2	1.000000
54	25	2	1.000000
54	26	2	2.000000
54	27	2	2.000000
54	28	2	2.000000
54	29	2	2.000000
54	30	2	2.000000
54	31	2	2.000000
54	32	2	2.000000
54	33	2	2.000000
54	34	2	2.000000
54	35	2	2.000000
54	36	2	2.000000
54	37	2	2.000000
54	38	2	2.000000
54	39	2	2.000000
54	40	2	2.000000
54	41	2	2.000000
54	42	2	2.000000
54	43	2	2.000000
54	44	2	2.000000
54	45	2	2.000000
54	46	2	2.000000
54	47	2	1.000000
54	48	2	1.000000
54	49	2	1.000000
55	23	2	1.000000
55	24	2	1.000000
55	25	2	1.000000
55	26	2	2.000000
55	27	2	2.000000
55	28	2	2.000000
55	29	2	2.000000
55	30	2	2.000000
55	31	2	2.000000
55	32	2	2.000000
55	33	2	2.000000
55	34	2	2.000000
55	35	2	2.000000
55	36	2	2.000000
55	37	2	2.000000
55	38	2	2.000000
55	39	2	2.000000
55	40	2	2.000000
55	41	2	2.000000
55	42	2	2.000000
55	43	2	2.000000
55	44	2	2.000000
55	45	2	2.000000
55	46	2	1.000000
55	47	2	1.000000
55	48	2	1.000000
55	49	2	1.000000
56	23	2	1.000000
56	24	2	1.000000
56	25	2	1.000000
56	26	2	2.000000
56	27	2	2.000000
56	28	2	2.000000
56	29	2	2.000000
56	30	2	2.000000
56	31	2	2.000000
56	32	2	2.000000
56	33	2	2.000000
56	34	2	2.000000
56	35	2	2.000000
56	36	2	2.000000
56	37	2	2.000000
56	38	2	2.000000
56	39	2	2.000000
56	40	2	2.000000
56	41	2	2.000000
56	42	2	2.000000
56	43	2	2.000000
56	44	2	2.000000
56	45	2	2.000000
56	46	2	2.000000
56	47	2	1.000000
56	48	2	1.000000
56	49	2	1.000000
57	24	2	1.000000
57	25	2	1.000000
57	26	2	2.000000
57	27	2	2.000000
